# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	minMag(U)	location	cell
0               	1.00000000e+00	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
0.00011999      	3.76603709e-01	(1.99463019e+00 2.50000000e-07 5.00000000e-01)	543
0.000263962     	1.51893443e-01	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.000436717     	9.93596900e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.000644009     	7.89706664e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.000892729     	6.76439040e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00119115      	6.01196446e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00154914      	5.46256495e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00197859      	5.03762315e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00249383      	4.69584384e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00311186      	4.41301462e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00385304      	4.17381981e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00474246      	3.96801189e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00580919      	3.78843887e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00708871      	3.62992887e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.00862335      	3.48863696e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0104626       	3.36163614e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0126665       	3.24665234e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0153064       	3.14188858e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0184727       	3.04590285e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0222623       	2.95752408e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.02681         	2.87578790e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0322468       	2.79989427e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0387418       	2.72917124e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0464938       	2.66305058e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0557512       	2.60104780e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0656906       	2.54275244e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0755255       	2.48780567e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0852568       	2.43589279e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.0948857       	2.38674010e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.104413        	2.34010742e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.11384         	2.29578299e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.123071        	2.25357965e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.132206        	2.21333006e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.141245        	2.17488541e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.150191        	2.13811229e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.159043        	2.10289078e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.167803        	2.06911272e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.176563        	2.03667993e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.185231        	2.00550412e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.193807        	1.97550450e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.202293        	1.94660745e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.21069         	1.91874574e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.218999        	1.89185773e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.227307        	1.86588657e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.235528        	1.84078059e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.24366         	1.81649176e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.251793        	1.79297550e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.259838        	1.77019117e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.267797        	1.74810073e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.275756        	1.72666866e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.283628        	1.70586252e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.291414        	1.68565172e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.299201        	1.66600756e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.306902        	1.64690377e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.314603        	1.62831522e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.322219        	1.61021894e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.32975         	1.59259308e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.337281        	1.57541693e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.344727        	1.55867156e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.352173        	1.54233862e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.359535        	1.52640135e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.366897        	1.51084343e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.374258        	1.49564979e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.381534        	1.48080633e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.38881         	1.46629927e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.396001        	1.45211608e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.403191        	1.43824439e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.410296        	1.42467298e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.417401        	1.41139071e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.424506        	1.39838729e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.431524        	1.38565309e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.438542        	1.37317854e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.445561        	1.36095479e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.452491        	1.34897358e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.459422        	1.33722661e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.466264        	1.32570643e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.473107        	1.31440547e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.47995         	1.30331678e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.486793        	1.29243367e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.493545        	1.28174993e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.500298        	1.27125922e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.507051        	1.26095574e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.513712        	1.25083406e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.520374        	1.24088860e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.527035        	1.23111425e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.533697        	1.22150607e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.540264        	1.21205953e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.546832        	1.20276984e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.5534          	1.19363270e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
0.559967        	1.18464389e-02	(-3.17746885e-01 2.50000000e-07 5.00000000e-01)	1
