# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	minMag(U)	location	cell
0               	1.00000000e+00	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0
1               	2.57503538e-01	(1.46301914e+00 1.00232707e-06 5.00000000e-01)	123
2               	1.25313899e-01	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
3               	8.61528136e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
4               	6.80355447e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
5               	5.71376749e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
6               	4.96136617e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
7               	4.39998526e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
8               	3.96026420e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
9               	3.60423350e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
10              	3.30894090e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
11              	3.05764416e-02	(1.07639292e+00 1.00232707e-06 5.00000000e-01)	114
12              	2.83496971e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
13              	2.63993845e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
14              	2.46736650e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
15              	2.31335468e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
16              	2.17490259e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
17              	2.04965619e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
18              	1.93573743e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
19              	1.83162602e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
20              	1.73607544e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
21              	1.64805197e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
22              	1.56668972e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
23              	1.49125672e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
24              	1.42112919e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
25              	1.35577158e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
26              	1.29472098e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
27              	1.23757482e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
28              	1.18398101e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
29              	1.13363003e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
30              	1.08624847e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
31              	1.04159375e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
32              	9.99449751e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
33              	9.59623207e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
34              	9.21940664e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
35              	8.86245936e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
36              	8.52397946e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
37              	8.20268896e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
38              	7.89742317e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
39              	7.60712923e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
40              	7.33084188e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
41              	7.06767783e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
42              	6.81682706e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
43              	6.57754514e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
44              	6.34914663e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
45              	6.13099919e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
46              	5.92251842e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
47              	5.72316329e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
48              	5.53243210e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
49              	5.34985890e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
50              	5.17501026e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
51              	5.00748243e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
52              	4.84689878e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
53              	4.69290748e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
54              	4.54517947e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
55              	4.40340659e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
56              	4.26729990e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
57              	4.13658816e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
58              	4.01101648e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
59              	3.89034505e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
60              	3.77434803e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
61              	3.66281253e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
62              	3.55553764e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
63              	3.45233363e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
64              	3.35302112e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
65              	3.25743039e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
66              	3.16540073e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
67              	3.07677984e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
68              	2.99142326e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
69              	2.90919390e-03	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
