# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	minMag(U)	location	cell
0               	1.00000000e+00	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
0.00011999      	6.02394438e-01	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
0.000263962     	3.32229325e-01	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
0.000436717     	2.10529850e-01	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
0.000644009     	1.61775226e-01	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
0.000892729     	1.37588867e-01	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
0.00119115      	1.20686542e-01	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
0.00154914      	1.07073330e-01	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
0.00197859      	9.58603952e-02	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
0.00249383      	8.65399682e-02	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
0.00311186      	7.87112234e-02	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
0.00385304      	7.20912959e-02	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
0.00474246      	6.64665866e-02	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
0.00580919      	6.16772104e-02	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
0.00708871      	5.75892153e-02	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
0.00862335      	5.40799655e-02	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
0.0104626       	5.06296753e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
0.0126665       	4.74876854e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
0.0153064       	4.46898083e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
0.0184727       	4.22245982e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
0.0222623       	4.00398674e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
0.02681         	3.81074730e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
0.0322468       	3.64050695e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
0.0387418       	3.49113530e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
0.0464938       	3.36084484e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
0.0546435       	3.24968645e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
0.0627234       	3.15567961e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
0.0707343       	3.07684314e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
0.0786768       	3.01163272e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
0.0866192       	2.94944277e-02	(1.14047319e-02 2.74157932e-06 5.00000000e-01)	3
0.0944932       	2.89454513e-02	(1.14047319e-02 2.74157932e-06 5.00000000e-01)	3
0.102367        	2.85044105e-02	(1.14047319e-02 2.74157932e-06 5.00000000e-01)	3
0.110173        	2.81691511e-02	(1.14047319e-02 2.74157932e-06 5.00000000e-01)	3
0.117978        	2.79446306e-02	(1.14047319e-02 2.74157932e-06 5.00000000e-01)	3
0.125784        	2.77423335e-02	(1.48877429e-02 2.74157932e-06 5.00000000e-01)	4
0.133589        	2.75971829e-02	(1.48877429e-02 2.74157932e-06 5.00000000e-01)	4
0.141325        	2.75399393e-02	(1.48877429e-02 2.74157932e-06 5.00000000e-01)	4
0.149061        	2.75637448e-02	(1.48877429e-02 2.74157932e-06 5.00000000e-01)	4
0.156797        	2.76810249e-02	(1.84777604e-02 2.74157932e-06 5.00000000e-01)	5
0.164532        	2.77526272e-02	(1.84777604e-02 2.74157932e-06 5.00000000e-01)	5
0.172268        	2.78624962e-02	(2.21780719e-02 2.74157932e-06 5.00000000e-01)	6
0.180004        	2.79756528e-02	(2.21780719e-02 2.74157932e-06 5.00000000e-01)	6
0.18774         	2.81091361e-02	(2.21780719e-02 2.74157932e-06 5.00000000e-01)	6
0.195476        	2.82554620e-02	(2.21780719e-02 2.74157932e-06 5.00000000e-01)	6
0.203211        	2.84073769e-02	(2.21780719e-02 2.74157932e-06 5.00000000e-01)	6
0.210947        	2.85427797e-02	(2.59920659e-02 2.74157932e-06 5.00000000e-01)	7
0.218683        	2.86735548e-02	(2.59920659e-02 2.74157932e-06 5.00000000e-01)	7
0.226419        	2.87988277e-02	(2.59920659e-02 2.74157932e-06 5.00000000e-01)	7
0.234155        	2.89161704e-02	(2.59920659e-02 2.74157932e-06 5.00000000e-01)	7
