# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	maxMag(U)	location	cell
0               	1.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
1               	1.00006967e+00	(1.96867370e+00 1.46452811e-02 5.00000000e-01)	1499
2               	1.00020020e+00	(1.96867370e+00 1.59356319e-02 5.00000000e-01)	1599
3               	1.00035260e+00	(1.96867370e+00 2.79366503e-02 5.00000000e-01)	2399
4               	1.00049606e+00	(1.96867370e+00 4.81301748e-02 5.00000000e-01)	3399
5               	1.00062394e+00	(1.96867370e+00 6.38422312e-02 5.00000000e-01)	3999
6               	1.00073253e+00	(1.96867370e+00 7.61754087e-02 5.00000000e-01)	4399
7               	1.00083118e+00	(1.90695483e+00 2.30631827e-02 5.00000000e-01)	2098
8               	1.00091324e+00	(1.90695483e+00 2.62585212e-02 5.00000000e-01)	2298
9               	1.00098661e+00	(1.90695483e+00 2.46346160e-02 5.00000000e-01)	2198
10              	1.00105566e+00	(1.90695483e+00 2.00710042e-02 5.00000000e-01)	1898
11              	1.00112120e+00	(1.90695483e+00 2.15425256e-02 5.00000000e-01)	1998
12              	1.00119824e+00	(8.69799978e-01 6.70778142e-03 5.00000000e-01)	774
13              	1.00128457e+00	(8.12733129e-01 5.71560190e-03 5.00000000e-01)	672
14              	1.00136493e+00	(7.85469001e-01 5.71560190e-03 5.00000000e-01)	671
15              	1.00143794e+00	(7.59017526e-01 5.71560190e-03 5.00000000e-01)	670
16              	1.00150342e+00	(7.59017526e-01 5.71560190e-03 5.00000000e-01)	670
17              	1.00156284e+00	(7.59017526e-01 5.71560190e-03 5.00000000e-01)	670
18              	1.00162962e+00	(1.29524581e+00 7.73309085e-03 5.00000000e-01)	886
19              	1.00171703e+00	(1.38241599e+00 8.79263643e-03 5.00000000e-01)	988
20              	1.00180989e+00	(1.38241599e+00 7.73309085e-03 5.00000000e-01)	888
21              	1.00190736e+00	(1.42801977e+00 7.73309085e-03 5.00000000e-01)	889
22              	1.00200852e+00	(1.42801977e+00 7.73309085e-03 5.00000000e-01)	889
23              	1.00211160e+00	(1.42801977e+00 7.73309085e-03 5.00000000e-01)	889
24              	1.00221548e+00	(1.47502460e+00 7.73309085e-03 5.00000000e-01)	890
25              	1.00231944e+00	(1.52347354e+00 7.73309085e-03 5.00000000e-01)	891
26              	1.00242368e+00	(1.52347354e+00 8.79263643e-03 5.00000000e-01)	991
27              	1.00252830e+00	(1.57341094e+00 8.79263643e-03 5.00000000e-01)	992
28              	1.00263341e+00	(1.57341094e+00 8.79263643e-03 5.00000000e-01)	992
29              	1.00273843e+00	(1.62488254e+00 8.79263643e-03 5.00000000e-01)	993
30              	1.00284345e+00	(1.62488254e+00 8.79263643e-03 5.00000000e-01)	993
31              	1.00294803e+00	(1.62488254e+00 8.79263643e-03 5.00000000e-01)	993
32              	1.00305118e+00	(1.67793547e+00 8.79263643e-03 5.00000000e-01)	994
33              	1.00315263e+00	(1.67793547e+00 8.79263643e-03 5.00000000e-01)	994
34              	1.00325081e+00	(1.67793547e+00 8.79263643e-03 5.00000000e-01)	994
35              	1.00334367e+00	(1.73261832e+00 8.79263643e-03 5.00000000e-01)	995
36              	1.00343064e+00	(1.73261832e+00 8.79263643e-03 5.00000000e-01)	995
37              	1.00351024e+00	(1.73261832e+00 8.79263643e-03 5.00000000e-01)	995
38              	1.00358124e+00	(1.78898115e+00 9.88756135e-03 5.00000000e-01)	1096
39              	1.00364688e+00	(1.78898115e+00 9.88756135e-03 5.00000000e-01)	1096
40              	1.00371405e+00	(1.90695483e+00 9.88756135e-03 5.00000000e-01)	1098
41              	1.00377268e+00	(1.90695483e+00 9.88756135e-03 5.00000000e-01)	1098
42              	1.00382059e+00	(1.90695483e+00 9.88756135e-03 5.00000000e-01)	1098
43              	1.00385896e+00	(1.90695483e+00 9.88756135e-03 5.00000000e-01)	1098
44              	1.00392890e+00	(1.52347354e+00 9.88756135e-03 5.00000000e-01)	1091
