# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	minMag(U)	location	cell
0               	1.00000000e+00	(1.56631511e-03 2.74157932e-06 5.00000000e-01)	0
1               	3.65698218e-01	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
2               	1.45540639e-01	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
3               	9.41026242e-02	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
4               	7.40765688e-02	(4.74706631e-03 2.74157932e-06 5.00000000e-01)	1
5               	6.30116437e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
6               	5.57052782e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
7               	5.03833423e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
8               	4.62390193e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
9               	4.29531034e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
10              	4.02835237e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
11              	3.80783388e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
12              	3.62364021e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
13              	3.46878496e-02	(8.02553783e-03 2.74157932e-06 5.00000000e-01)	2
14              	3.32944325e-02	(1.14047319e-02 2.74157932e-06 5.00000000e-01)	3
15              	3.20712422e-02	(1.14047319e-02 2.74157932e-06 5.00000000e-01)	3
16              	3.10178277e-02	(1.14047319e-02 2.74157932e-06 5.00000000e-01)	3
17              	3.01130578e-02	(1.14047319e-02 2.74157932e-06 5.00000000e-01)	3
18              	2.93259926e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
19              	2.86108321e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
20              	2.79877437e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
21              	2.74474418e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
22              	2.69818264e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
23              	2.65836913e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
24              	2.62465232e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
25              	2.59643603e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
26              	2.57316972e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
27              	2.55434207e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
28              	2.53947673e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
29              	2.52812562e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
30              	2.51985385e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
31              	2.51422537e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
32              	2.51079514e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
33              	2.50911818e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
34              	2.50877373e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
35              	2.50938746e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
36              	2.51064393e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
37              	2.51228922e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
38              	2.51412678e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
39              	2.51600980e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
40              	2.51783111e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
41              	2.51951379e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
42              	2.52100562e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
43              	2.52227464e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
44              	2.52330495e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
45              	2.52409269e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
46              	2.52462771e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
47              	2.52489883e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
48              	2.52491593e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
49              	2.52470088e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
50              	2.52427866e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
51              	2.52367331e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
52              	2.52290665e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
53              	2.52199807e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
54              	2.52096460e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
55              	2.51982115e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
56              	2.51858066e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
57              	2.51725433e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
58              	2.51585179e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
59              	2.51438129e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
60              	2.51284984e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
61              	2.51126337e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
62              	2.50962687e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
63              	2.50794451e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
64              	2.50621979e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
65              	2.50445559e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
66              	2.50265428e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
67              	2.50081786e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
68              	2.49894794e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
69              	2.49704590e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
70              	2.49511288e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
71              	2.49314986e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
72              	2.49115772e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
73              	2.48913725e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
74              	2.48708917e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
75              	2.48501419e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
76              	2.48291300e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
77              	2.48078629e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
78              	2.47863478e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
79              	2.47645918e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
80              	2.47426026e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
81              	2.47203879e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
82              	2.46979557e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
83              	2.46753144e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
84              	2.46524724e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
85              	2.46294384e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
86              	2.46062214e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
87              	2.45828303e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
88              	2.45592742e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
89              	2.45355624e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
90              	2.45117040e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
91              	2.44877085e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
92              	2.44635852e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
93              	2.44393434e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
94              	2.44149925e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
95              	2.43905418e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
96              	2.43660004e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
97              	2.43413775e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
98              	2.43166820e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
99              	2.42919226e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
100             	2.42671081e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
101             	2.42422468e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
102             	2.42173468e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
103             	2.41924163e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
104             	2.41674629e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
105             	2.41424940e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
106             	2.41175168e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
107             	2.40925383e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
108             	2.40675651e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
109             	2.40426036e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
110             	2.40176600e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
111             	2.39927399e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
112             	2.39678234e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
113             	2.39428938e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
114             	2.39179517e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
115             	2.38930083e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
116             	2.38680777e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
117             	2.38431730e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
118             	2.38183056e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
119             	2.37934846e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
120             	2.37687177e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
121             	2.37440114e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
122             	2.37193709e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
123             	2.36948010e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
124             	2.36703056e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
125             	2.36458883e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
126             	2.36215522e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
127             	2.35973002e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
128             	2.35731349e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
129             	2.35490584e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
130             	2.35250729e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
131             	2.35011802e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
132             	2.34773821e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
133             	2.34536801e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
134             	2.34300755e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
135             	2.34065695e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
136             	2.33831634e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
137             	2.33598579e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
138             	2.33366542e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
139             	2.33135528e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
140             	2.32905544e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
141             	2.32676597e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
142             	2.32448691e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
143             	2.32221830e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
144             	2.31996017e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
145             	2.31771255e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
146             	2.31547546e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
147             	2.31324891e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
148             	2.31103291e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
149             	2.30882746e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
150             	2.30663255e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
151             	2.30444817e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
152             	2.30227432e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
153             	2.30011097e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
154             	2.29795811e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
155             	2.29581571e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
156             	2.29368373e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
157             	2.29156216e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
158             	2.28945095e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
159             	2.28735007e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
160             	2.28525948e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
161             	2.28317914e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
162             	2.28110900e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
163             	2.27904901e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
164             	2.27699914e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
165             	2.27495932e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
166             	2.27292952e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
167             	2.27090967e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
168             	2.26889972e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
169             	2.26689962e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
170             	2.26490932e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
171             	2.26292875e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
172             	2.26095787e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
173             	2.25899660e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
174             	2.25704490e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
175             	2.25510270e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
176             	2.25316994e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
177             	2.25124657e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
178             	2.24933252e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
179             	2.24742774e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
180             	2.24553215e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
181             	2.24364571e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
182             	2.24176835e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
183             	2.23990001e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
184             	2.23804063e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
185             	2.23619014e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
186             	2.23434849e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
187             	2.23251562e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
188             	2.23069146e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
189             	2.22887596e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
190             	2.22706905e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
191             	2.22527068e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
192             	2.22348078e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
193             	2.22169929e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
194             	2.21992616e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
195             	2.21816133e-02	(1.96867370e+00 2.74157932e-06 5.00000000e-01)	99
