# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	minMag(U)	location	cell
0               	1.00000000e+00	(-3.13296488e-01 1.00232707e-06 5.00000000e-01)	0
1               	6.75218489e-01	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
2               	3.98631569e-01	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
3               	1.82135467e-01	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
4               	1.17514970e-01	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
5               	9.04705806e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
6               	7.47692889e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
7               	6.40540325e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
8               	5.61158457e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
9               	4.99432014e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
10              	4.49840452e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
11              	4.09070502e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
12              	3.74963950e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
13              	3.46037403e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
14              	3.21226273e-02	(6.03404640e-03 1.00232707e-06 5.00000000e-01)	25
15              	2.99581021e-02	(1.00952164e-02 1.00232707e-06 5.00000000e-01)	26
16              	2.79888510e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
17              	2.62298884e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
18              	2.46543330e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
19              	2.32346772e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
20              	2.19488442e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
21              	2.07789032e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
22              	1.97101341e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
23              	1.87303369e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
24              	1.78293136e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
25              	1.69984754e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
26              	1.62305401e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
27              	1.55192984e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
28              	1.48594298e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
29              	1.42463575e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
30              	1.36761327e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
31              	1.31453415e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
32              	1.26510289e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
33              	1.21906362e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
34              	1.17619481e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
35              	1.13630466e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
36              	1.09922705e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
37              	1.06481778e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
38              	1.03295098e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
39              	1.00351579e-02	(1.97852077e+00 1.00232707e-06 5.00000000e-01)	135
