# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	minMag(U)	location	cell	processor
0               	5.40000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	3
1               	4.10836365e+00	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
2               	1.13462161e+00	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
3               	5.82096682e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
4               	4.10551621e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
5               	3.29279323e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
6               	2.79834528e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
7               	2.45740822e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
8               	2.20324655e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
9               	2.00488089e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
10              	1.84442681e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
11              	1.71144853e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
12              	1.59894944e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
13              	1.50228953e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
14              	1.41810795e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
15              	1.34398778e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
16              	1.27809495e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
17              	1.21903750e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
18              	1.16572304e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
19              	1.11728981e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
20              	1.07304314e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
21              	1.03241896e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
22              	9.94952509e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
23              	9.60257941e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
24              	9.28011577e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
25              	8.97939985e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
26              	8.69810331e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
27              	8.43423131e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
28              	8.18606303e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
29              	7.95210499e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
30              	7.73105484e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
31              	7.52177247e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
32              	7.32325572e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
33              	7.13461985e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
34              	6.95508049e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
35              	6.78393934e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
36              	6.62057253e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
37              	6.46442066e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
38              	6.31498050e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
39              	6.17179745e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
40              	6.03445952e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
41              	5.90259251e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
42              	5.77585598e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
43              	5.65393935e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
44              	5.53655825e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
45              	5.42345144e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
46              	5.31437819e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
47              	5.20911602e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
48              	5.10745888e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
49              	5.00921556e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
50              	4.91420839e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
51              	4.82227168e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
52              	4.73325104e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
53              	4.64700243e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
54              	4.56339182e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
55              	4.48229426e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
56              	4.40359322e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
57              	4.32717979e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
58              	4.25295217e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
59              	4.18081506e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
60              	4.11067898e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
61              	4.04246007e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
62              	3.97607952e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
63              	3.91146298e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
64              	3.84854025e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
65              	3.78724521e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
66              	3.72751542e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
67              	3.66929204e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
68              	3.61251951e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
69              	3.55714532e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
70              	3.50311990e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
71              	3.45039619e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
72              	3.39892974e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
73              	3.34867819e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
74              	3.29960130e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
75              	3.25166090e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
76              	3.20482062e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
77              	3.15904563e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
78              	3.11430277e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
79              	3.07056036e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
80              	3.02778831e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
81              	2.98595793e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
82              	2.94504185e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
83              	2.90501393e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
84              	2.86584920e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
85              	2.82752380e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
86              	2.79001476e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
87              	2.75330009e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
88              	2.71735881e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
89              	2.68217077e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
90              	2.64771662e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
91              	2.61397764e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
92              	2.58093593e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
93              	2.54857418e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
94              	2.51687580e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	1
