# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	maxMag(U)	location	cell	processor
0               	5.40000000e+00	(1.49620017e-02 1.01701236e-05 5.00000000e-02)	0	3
1               	5.42562726e+00	(2.74971497e-04 2.52681188e-04 5.00000000e-02)	4786	2
2               	5.48058230e+00	(4.01327271e-04 2.18863888e-04 5.00000000e-02)	4665	2
3               	5.50837668e+00	(4.01327271e-04 1.87008177e-04 5.00000000e-02)	4542	2
4               	5.52088929e+00	(5.95845619e-04 2.18863888e-04 5.00000000e-02)	4668	2
5               	5.52796204e+00	(5.95845619e-04 2.18863888e-04 5.00000000e-02)	4668	2
6               	5.53024344e+00	(5.30332311e-04 2.18863888e-04 5.00000000e-02)	4667	2
7               	5.52915011e+00	(5.30332311e-04 2.18863888e-04 5.00000000e-02)	4667	2
8               	5.52636158e+00	(6.62042164e-04 2.52681188e-04 5.00000000e-02)	4792	2
9               	5.52236676e+00	(6.62042164e-04 2.52681188e-04 5.00000000e-02)	4792	2
10              	5.51757683e+00	(7.96513540e-04 2.88580868e-04 5.00000000e-02)	4917	2
11              	5.51416130e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	4918	2
12              	5.51128709e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	5043	2
13              	5.50847063e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	5043	2
14              	5.50585542e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	5169	2
15              	5.50353322e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	5169	2
16              	5.50104401e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	5169	2
17              	5.49888270e+00	(1.43738982e-03 4.10096419e-04 5.00000000e-02)	5295	2
18              	5.49697253e+00	(1.51236281e-03 4.10096419e-04 5.00000000e-02)	5296	2
19              	5.49510862e+00	(1.51236281e-03 4.10096419e-04 5.00000000e-02)	5296	2
20              	5.49327476e+00	(1.74200583e-03 4.55689308e-04 5.00000000e-02)	5422	2
21              	5.49175654e+00	(1.74200583e-03 4.55689308e-04 5.00000000e-02)	5422	2
22              	5.49023330e+00	(1.74200583e-03 4.55689308e-04 5.00000000e-02)	5422	2
23              	5.48872685e+00	(1.74200583e-03 4.55689308e-04 5.00000000e-02)	5422	2
24              	5.48726181e+00	(1.74200583e-03 4.55689308e-04 5.00000000e-02)	5422	2
25              	5.48598712e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	5549	2
26              	5.48474037e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	5549	2
27              	5.48352185e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	5549	2
28              	5.48233800e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	5549	2
29              	5.48119172e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	5549	2
30              	5.48008525e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	5549	2
31              	5.47906446e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5676	2
32              	5.47807556e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5676	2
33              	5.47711798e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5676	2
34              	5.47619192e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5676	2
35              	5.47529720e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5676	2
36              	5.47443315e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5676	2
37              	5.47359867e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5676	2
38              	5.47279188e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5676	2
39              	5.47201181e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5676	2
40              	5.47125717e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5676	2
41              	5.47052673e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5676	2
42              	5.46981764e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5676	2
43              	5.46912970e+00	(2.30647071e-03 5.55470428e-04 5.00000000e-02)	5675	2
44              	5.46847329e+00	(2.73550983e-03 6.10015059e-04 5.00000000e-02)	5803	2
