# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	maxMag(U)	location	cell
0               	1.00000000e+00	(-3.28081024e-01 2.50000000e-07 5.00000000e-01)	0
1               	1.00007239e+00	(-3.17746885e-01 6.23171992e-03 5.00000000e-01)	118049
2               	1.00012550e+00	(-3.17746885e-01 6.62368706e-03 5.00000000e-01)	119137
3               	1.00015075e+00	(-3.17746885e-01 6.82882121e-03 5.00000000e-01)	119681
4               	1.00016614e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
5               	1.00017741e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
6               	1.00018886e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
7               	1.00020011e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
8               	1.00021010e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
9               	1.00021951e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
10              	1.00023043e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
11              	1.00024181e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
12              	1.00025369e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
13              	1.00026514e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
14              	1.00027570e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
15              	1.00028454e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
16              	1.00029257e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
17              	1.00030043e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
18              	1.00030860e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
19              	1.00031653e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
20              	1.00032474e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
21              	1.00033269e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
22              	1.00034141e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
23              	1.00035000e+00	(-3.17746885e-01 7.71488514e-03 5.00000000e-01)	121857
