# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	minMag(U)	location	cell
0               	1.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
1               	5.27136865e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
2               	2.94955709e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
3               	2.43197109e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
4               	2.57102013e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
5               	2.74045250e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
6               	3.20894995e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
7               	3.46508963e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
8               	3.66991992e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
9               	3.84376534e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
10              	3.99390981e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
11              	4.11901389e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
12              	4.22647025e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
13              	4.31851239e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
14              	4.39599290e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
15              	4.46426168e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
16              	4.52400915e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
17              	4.57694526e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
18              	4.62450164e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
19              	4.66874534e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
20              	4.71076059e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
21              	4.75138137e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
22              	4.79121205e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
23              	4.83045568e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
24              	4.86897603e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
25              	4.90641276e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
26              	4.94245544e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
27              	4.97689073e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
28              	5.00957180e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
29              	5.04034792e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
30              	5.06908263e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
31              	5.09576315e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
32              	5.12045249e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
33              	5.14326750e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
34              	5.16433110e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
35              	5.18377096e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
36              	5.20173503e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
37              	5.21837375e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
38              	5.23383294e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
39              	5.24823709e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
40              	5.26168892e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
41              	5.27427675e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
42              	5.28607756e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
43              	5.29715643e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
44              	5.30756742e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
45              	5.31735567e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
46              	5.32655792e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
47              	5.33520344e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
48              	5.34331629e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
49              	5.35091756e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
