# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	maxMag(U)	location	cell	processor
0               	5.40000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	3
1               	5.42562726e+00	(2.74971497e-04 2.52681188e-04 5.00000000e-02)	4795	3
2               	5.48058244e+00	(4.01327271e-04 2.18863888e-04 5.00000000e-02)	4673	3
3               	5.50837681e+00	(4.01327271e-04 1.87008177e-04 5.00000000e-02)	4549	3
4               	5.52088943e+00	(5.95845619e-04 2.18863888e-04 5.00000000e-02)	4676	3
5               	5.52796214e+00	(5.95845619e-04 2.18863888e-04 5.00000000e-02)	4676	3
6               	5.53024351e+00	(5.30332311e-04 2.18863888e-04 5.00000000e-02)	4675	3
7               	5.52915016e+00	(5.30332311e-04 2.18863888e-04 5.00000000e-02)	4675	3
8               	5.52636164e+00	(6.62042164e-04 2.52681188e-04 5.00000000e-02)	4801	3
9               	5.52236680e+00	(6.62042164e-04 2.52681188e-04 5.00000000e-02)	4801	3
10              	5.51757686e+00	(7.96513540e-04 2.88580868e-04 5.00000000e-02)	4927	3
11              	5.51416133e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	4928	3
12              	5.51128712e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	5054	3
13              	5.50847066e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	5054	3
14              	5.50585545e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	5181	3
15              	5.50353324e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	5181	3
16              	5.50104402e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	5181	3
17              	5.49888271e+00	(1.43738982e-03 4.10096419e-04 5.00000000e-02)	5308	3
18              	5.49697254e+00	(1.51236281e-03 4.10096419e-04 5.00000000e-02)	5309	3
19              	5.49510863e+00	(1.51236281e-03 4.10096419e-04 5.00000000e-02)	5309	3
20              	5.49327477e+00	(1.74200583e-03 4.55689308e-04 5.00000000e-02)	5436	3
21              	5.49175654e+00	(1.74200583e-03 4.55689308e-04 5.00000000e-02)	5436	3
22              	5.49023330e+00	(1.74200583e-03 4.55689308e-04 5.00000000e-02)	5436	3
23              	5.48872686e+00	(1.74200583e-03 4.55689308e-04 5.00000000e-02)	5436	3
24              	5.48726181e+00	(1.74200583e-03 4.55689308e-04 5.00000000e-02)	5436	3
25              	5.48598713e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	5564	3
26              	5.48474038e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	5564	3
27              	5.48352185e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	5564	3
28              	5.48233800e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	5564	3
29              	5.48119172e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	5564	3
30              	5.48008525e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	5564	3
31              	5.47906446e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5692	3
32              	5.47807556e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5692	3
33              	5.47711798e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5692	3
34              	5.47619192e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5692	3
35              	5.47529719e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5692	3
36              	5.47443314e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5692	3
37              	5.47359866e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5692	3
38              	5.47279188e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5692	3
39              	5.47201181e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5692	3
40              	5.47125716e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5692	3
41              	5.47052672e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5692	3
42              	5.46981763e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	5692	3
43              	5.46912970e+00	(2.30647071e-03 5.55470428e-04 5.00000000e-02)	5691	3
44              	5.46847329e+00	(2.73550983e-03 6.10015059e-04 5.00000000e-02)	5820	3
45              	5.46783769e+00	(2.73550983e-03 6.10015059e-04 5.00000000e-02)	5820	3
46              	5.46721931e+00	(2.73550983e-03 6.10015059e-04 5.00000000e-02)	5820	3
47              	5.46661722e+00	(2.73550983e-03 6.10015059e-04 5.00000000e-02)	5820	3
48              	5.46603055e+00	(2.73550983e-03 6.10015059e-04 5.00000000e-02)	5820	3
49              	5.46545957e+00	(2.64791233e-03 6.10015059e-04 5.00000000e-02)	5819	3
